random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
72,0.538,0.707,0.794,0.86,0.86,0.069,0.825,2.037,0.105,0.923,0.794,0.772,0.81,0.847,0.932,0.932,0.299,0.888,0.227,0.513,1.329,0.847
73,0.471,0.753,0.804,0.917,0.917,0.069,0.857,1.198,0.167,0.985,0.804,0.791,0.821,0.852,0.943,0.943,0.313,0.895,0.182,0.568,1.373,0.852
74,0.573,0.773,0.804,0.95,0.95,0.034,0.871,1.438,0.143,0.984,0.804,0.775,0.813,0.846,0.939,0.939,0.284,0.89,0.214,0.528,1.311,0.846
75,0.602,0.767,0.803,0.942,0.942,0.034,0.867,1.678,0.125,0.976,0.803,0.785,0.816,0.838,0.957,0.957,0.224,0.893,0.191,0.556,1.233,0.838
76,0.546,0.767,0.807,0.934,0.934,0.069,0.866,0.959,0.2,1.003,0.807,0.759,0.793,0.842,0.914,0.914,0.284,0.877,0.302,0.442,1.276,0.842
77,0.531,0.76,0.801,0.934,0.934,0.034,0.863,1.917,0.111,0.967,0.801,0.76,0.827,0.833,0.982,0.982,0.179,0.902,0.1,0.706,1.196,0.833
78,0.614,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.798,0.821,0.836,0.968,0.968,0.209,0.897,0.154,0.609,1.224,0.836
79,0.496,0.753,0.8,0.926,0.926,0.034,0.858,2.157,0.1,0.959,0.8,0.723,0.821,0.834,0.971,0.971,0.194,0.898,0.147,0.619,1.205,0.834
80,0.54,0.787,0.82,0.942,0.942,0.138,0.877,0.419,0.364,1.093,0.82,0.806,0.816,0.84,0.954,0.954,0.239,0.893,0.194,0.552,1.253,0.84
81,0.631,0.833,0.843,0.975,0.975,0.241,0.904,0.103,0.7,1.285,0.843,0.749,0.821,0.841,0.961,0.961,0.239,0.897,0.165,0.593,1.262,0.841
