random_state,test_AUC,train_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
6,0.553,0.856,0.76,0.81,0.917,0.917,0.103,0.86,0.799,0.231,1.023,0.81,0.856,0.827,0.855,0.946,0.946,0.328,0.898,0.163,0.595,1.409,0.855
51,0.556,0.796,0.713,0.795,0.868,0.868,0.069,0.83,1.917,0.111,0.932,0.795,0.796,0.833,0.843,0.975,0.975,0.239,0.904,0.105,0.696,1.281,0.843
99,0.557,0.832,0.753,0.823,0.884,0.884,0.207,0.853,0.559,0.3,1.115,0.823,0.832,0.853,0.866,0.968,0.968,0.373,0.914,0.086,0.735,1.544,0.866
11,0.559,0.831,0.76,0.829,0.884,0.884,0.241,0.856,0.479,0.333,1.166,0.829,0.831,0.833,0.854,0.957,0.957,0.313,0.902,0.137,0.636,1.394,0.854
83,0.562,0.826,0.773,0.813,0.934,0.934,0.103,0.869,0.639,0.273,1.042,0.813,0.826,0.827,0.85,0.954,0.954,0.299,0.899,0.156,0.606,1.359,0.85
78,0.562,0.83,0.7,0.788,0.86,0.86,0.034,0.822,4.074,0.056,0.89,0.788,0.83,0.862,0.867,0.979,0.979,0.373,0.919,0.057,0.806,1.561,0.867
1,0.565,0.798,0.733,0.8,0.893,0.893,0.069,0.844,1.558,0.133,0.959,0.8,0.798,0.844,0.853,0.975,0.975,0.299,0.91,0.084,0.741,1.39,0.853
62,0.565,0.799,0.76,0.815,0.909,0.909,0.138,0.859,0.659,0.267,1.055,0.815,0.799,0.821,0.839,0.964,0.964,0.224,0.897,0.16,0.6,1.242,0.839
91,0.569,0.795,0.793,0.826,0.942,0.942,0.172,0.88,0.336,0.417,1.138,0.826,0.795,0.833,0.847,0.968,0.968,0.269,0.903,0.12,0.667,1.323,0.847
70,0.571,0.812,0.773,0.809,0.942,0.942,0.069,0.87,0.839,0.222,1.012,0.809,0.812,0.818,0.838,0.961,0.961,0.224,0.895,0.175,0.577,1.238,0.838
14,0.572,0.8,0.747,0.812,0.893,0.893,0.138,0.85,0.779,0.235,1.035,0.812,0.8,0.841,0.855,0.968,0.968,0.313,0.908,0.103,0.7,1.41,0.855
59,0.574,0.798,0.767,0.803,0.942,0.942,0.034,0.867,1.678,0.125,0.976,0.803,0.798,0.827,0.844,0.964,0.964,0.254,0.9,0.141,0.63,1.292,0.844
89,0.574,0.855,0.753,0.833,0.868,0.868,0.276,0.85,0.479,0.333,1.198,0.833,0.855,0.847,0.863,0.964,0.964,0.358,0.911,0.1,0.706,1.502,0.863
34,0.577,0.861,0.747,0.803,0.909,0.909,0.069,0.853,1.318,0.154,0.976,0.803,0.861,0.873,0.883,0.971,0.971,0.463,0.925,0.062,0.795,1.808,0.883
53,0.579,0.82,0.747,0.817,0.884,0.884,0.172,0.849,0.671,0.263,1.069,0.817,0.82,0.824,0.839,0.968,0.968,0.224,0.899,0.144,0.625,1.247,0.839
86,0.58,0.842,0.76,0.815,0.909,0.909,0.138,0.859,0.659,0.267,1.055,0.815,0.842,0.839,0.859,0.957,0.957,0.343,0.905,0.125,0.657,1.457,0.859
46,0.58,0.864,0.753,0.828,0.876,0.876,0.241,0.851,0.514,0.318,1.155,0.828,0.864,0.867,0.88,0.968,0.968,0.448,0.922,0.072,0.769,1.753,0.88
25,0.582,0.805,0.813,0.835,0.959,0.959,0.207,0.892,0.2,0.545,1.209,0.835,0.805,0.821,0.841,0.961,0.961,0.239,0.897,0.165,0.593,1.262,0.841
30,0.582,0.829,0.733,0.805,0.884,0.884,0.103,0.843,1.118,0.176,0.986,0.805,0.829,0.856,0.862,0.979,0.979,0.343,0.916,0.062,0.793,1.49,0.862
