random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
68,0.569,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.745,0.813,0.827,0.971,0.971,0.149,0.893,0.191,0.556,1.142,0.827
69,0.62,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.739,0.813,0.813,0.996,0.996,0.045,0.896,0.08,0.75,1.043,0.813
70,0.614,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.738,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
71,0.683,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.7,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
72,0.619,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.676,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
73,0.536,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.734,0.81,0.811,0.996,0.996,0.03,0.894,0.12,0.667,1.027,0.811
74,0.579,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.766,0.813,0.817,0.989,0.989,0.075,0.895,0.144,0.625,1.069,0.817
75,0.681,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.705,0.813,0.815,0.993,0.993,0.06,0.895,0.12,0.667,1.056,0.815
76,0.515,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.787,0.83,0.832,0.989,0.989,0.164,0.904,0.065,0.786,1.184,0.832
77,0.754,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.673,0.807,0.809,0.996,0.996,0.015,0.893,0.239,0.5,1.012,0.809
78,0.523,0.767,0.799,0.95,0.95,0.0,0.868,inf,0.0,0.95,0.799,0.79,0.833,0.834,0.989,0.989,0.179,0.905,0.06,0.8,1.205,0.834
79,0.492,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.715,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
80,0.593,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.781,0.821,0.822,0.993,0.993,0.104,0.9,0.068,0.778,1.109,0.822
81,0.586,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.729,0.804,0.808,0.993,0.993,0.015,0.891,0.479,0.333,1.008,0.808
82,0.619,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.708,0.804,0.812,0.986,0.986,0.045,0.89,0.319,0.429,1.032,0.812
83,0.627,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.714,0.813,0.812,1.0,1.0,0.03,0.896,0.0,1.0,1.031,0.812
84,0.617,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.761,0.818,0.82,0.993,0.993,0.09,0.898,0.08,0.75,1.091,0.82
85,0.625,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,0.725,0.807,0.809,0.996,0.996,0.015,0.893,0.239,0.5,1.012,0.809
86,0.632,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.712,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
87,0.557,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.751,0.807,0.809,0.996,0.996,0.015,0.893,0.239,0.5,1.012,0.809
88,0.682,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.722,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
89,0.672,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.733,0.804,0.808,0.993,0.993,0.015,0.891,0.479,0.333,1.008,0.808
90,0.65,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.711,0.813,0.813,0.996,0.996,0.045,0.896,0.08,0.75,1.043,0.813
91,0.628,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.71,0.81,0.809,1.0,1.0,0.015,0.895,0.0,1.0,1.015,0.809
92,0.643,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.749,0.813,0.812,1.0,1.0,0.03,0.896,0.0,1.0,1.031,0.812
93,0.663,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.748,0.816,0.818,0.993,0.993,0.075,0.897,0.096,0.714,1.073,0.818
94,0.659,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.707,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
95,0.484,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.798,0.81,0.817,0.986,0.986,0.075,0.893,0.191,0.556,1.065,0.817
96,0.551,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.774,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
97,0.638,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.691,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
98,0.615,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.691,0.807,0.809,0.996,0.996,0.015,0.893,0.239,0.5,1.012,0.809
99,0.625,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.761,0.807,0.816,0.982,0.982,0.075,0.891,0.239,0.5,1.061,0.816
100,0.607,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.722,0.801,0.808,0.989,0.989,0.015,0.889,0.718,0.25,1.004,0.808
