random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
55,0.526,0.807,0.819,0.975,0.975,0.103,0.891,0.24,0.5,1.088,0.819,0.594,0.839,0.835,0.996,0.996,0.179,0.909,0.02,0.923,1.214,0.835
56,0.587,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.707,0.813,0.812,1.0,1.0,0.03,0.896,0.0,1.0,1.031,0.812
57,0.49,0.727,0.803,0.876,0.876,0.103,0.838,1.198,0.167,0.977,0.803,0.587,0.818,0.836,0.964,0.964,0.209,0.896,0.171,0.583,1.219,0.836
58,0.496,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.53,0.818,0.816,1.0,1.0,0.06,0.899,0.0,1.0,1.063,0.816
59,0.534,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.641,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
60,0.543,0.813,0.821,0.983,0.983,0.103,0.895,0.16,0.6,1.097,0.821,0.562,0.816,0.827,0.975,0.975,0.149,0.895,0.168,0.588,1.146,0.827
61,0.524,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.591,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
62,0.506,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.628,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
63,0.559,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.645,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
64,0.509,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.614,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
65,0.542,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.638,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
66,0.479,0.773,0.8,0.959,0.959,0.0,0.872,inf,0.0,0.959,0.8,0.537,0.821,0.819,1.0,1.0,0.075,0.9,0.0,1.0,1.081,0.819
67,0.497,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.536,0.818,0.818,0.996,0.996,0.075,0.899,0.048,0.833,1.077,0.818
68,0.496,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.543,0.821,0.821,0.996,0.996,0.09,0.9,0.04,0.857,1.094,0.821
69,0.526,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.547,0.818,0.822,0.989,0.989,0.104,0.898,0.103,0.7,1.105,0.822
70,0.498,0.74,0.806,0.893,0.893,0.103,0.847,1.039,0.188,0.996,0.806,0.593,0.81,0.839,0.946,0.946,0.239,0.889,0.224,0.516,1.243,0.839
71,0.551,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.634,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
72,0.545,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.643,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
73,0.509,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.539,0.816,0.82,0.989,0.989,0.09,0.896,0.12,0.667,1.087,0.82
74,0.475,0.767,0.799,0.95,0.95,0.0,0.868,inf,0.0,0.95,0.799,0.562,0.824,0.827,0.989,0.989,0.134,0.901,0.08,0.75,1.143,0.827
75,0.57,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.63,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
76,0.513,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.651,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
